fighter_id,fight_stat_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country,avg_ctrl_time,avg_reversals,avg_submission_att,avg_takedown_succ,avg_takedown_att,avg_sig_strikes_att,avg_total_strikes_succ,avg_total_strikes_att,avg_knockdowns,avg_finish_time,fighter_f_name,fighter_l_name
2,9211,5,2694.0,2.0,2694.0,3.0,0,0,0,170.18,155.0,177.8,0.0,31.97262149212868,13,1,0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,112.0,93.0,147.0,0.0,300.0,Allan,Zuniga
7,9710,6,7.0,3979.0,3979.0,3.0,0,12,1,167.64,145.0,172.72,1.0,41.73305954825462,10,4,0,0.0,60,0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,61.0,Cat,Zingano
11,14219,4,2583.0,11.0,11.0,3.0,0,0,0,185.42,155.0,190.5,0.0,27.01163586584531,14,4,0,0.0,7,4,90.0,0.0,0.0,1.0,5.0,113.0,96.0,153.0,0.0,300.0,Fares,Ziam
12,14106,26,12.0,296.0,296.0,3.0,0,9,0,162.56,125.0,167.64,2.0,35.57015742642026,14,9,0,0.0,8,0,70.0,0.0,0.0,1.0,5.0,287.0,104.0,291.0,0.0,300.0,Zhalgas,Zhumagulov
13,7750,7,13.0,2103.0,2103.0,3.0,0,9,0,165.1,125.0,162.56,0.0,33.12799452429842,2,4,0,0.0,39,1,115.0,0.0,0.0,1.0,6.0,124.0,33.0,128.0,0.0,300.0,Yao,Zhikui
16,14322,15,16.0,2057.0,16.0,5.0,1,2,1,162.56,115.0,160.02,2.0,34.614647501711154,24,3,0,0.0,4,0,967.0,0.0,0.0,6.0,7.0,217.0,296.0,358.0,1.0,300.0,Zhang,Weili
17,6316,7,17.0,2362.0,2362.0,3.0,0,0,0,180.34,155.0,180.34,1.0,34.04243668720055,23,9,1,0.0,109,25,151.0,0.0,0.0,1.0,2.0,47.0,51.0,81.0,0.0,300.0,Zhang,Lipeng
18,4140,6,18.0,347.0,347.0,3.0,0,0,0,172.72,155.0,175.26,0.0,45.667351129363446,15,4,0,0.0,119,13,76.0,0.0,0.0,2.0,2.0,93.0,46.0,102.0,0.0,300.0,Zhang,Tiequan
23,14410,4,23.0,2846.0,23.0,3.0,0,0,0,185.42,155.0,195.58,2.0,24.71731690622861,14,1,0,0.0,0,0,17.0,0.0,1.0,0.0,0.0,101.0,36.0,101.0,0.0,206.0,Daniel,Zellhuber
25,14361,9,3488.0,25.0,3488.0,3.0,0,1,0,172.72,145.0,172.72,0.0,27.42231348391513,11,4,0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,41.0,9.0,41.0,0.0,231.0,Manolo,Zecchini
26,12291,4,1597.0,26.0,1597.0,3.0,0,3,0,182.88,170.0,190.5,0.0,33.648186173853524,17,7,0,0.0,0,0,39.0,0.0,0.0,1.0,2.0,205.0,91.0,210.0,0.0,300.0,David,Zawada
30,14045,3,1434.0,30.0,30.0,3.0,0,3,0,180.34,170.0,185.42,0.0,37.28678986995209,24,7,0,0.0,0,0,15.0,0.0,0.0,0.0,2.0,113.0,50.0,132.0,0.0,300.0,Elizeu,Zaleski dos Santos
31,12025,16,98.0,31.0,98.0,3.0,0,1,0,177.8,135.0,182.88,2.0,27.55373032169747,10,5,1,0.0,0,0,381.0,0.0,0.0,2.0,17.0,89.0,55.0,112.0,0.0,300.0,Youssef,Zalal
33,13162,43,33.0,336.0,33.0,3.0,0,4,0,172.72,135.0,172.72,0.0,36.34770704996578,10,2,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,105.0,54.0,105.0,0.0,300.0,Aiemann,Zahabi
35,5822,55,35.0,2255.0,2255.0,3.0,0,5,0,187.96,185.0,187.96,0.0,42.26420260095825,14,4,0,0.0,1,1,0.0,0.0,0.0,0.0,2.0,46.0,24.0,47.0,0.0,267.0,Luke,Zachrich
37,13404,25,37.0,740.0,37.0,3.0,0,1,0,175.26,145.0,180.34,0.0,30.85010266940452,13,2,0,0.0,0,0,2.0,0.0,1.0,0.0,0.0,9.0,9.0,9.0,0.0,30.0,Sodiq,Yusuff
41,13489,4,1804.0,41.0,1804.0,3.0,0,8,1,170.18,125.0,165.1,0.0,33.09240246406571,9,6,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,82.0,29.0,82.0,0.0,300.0,Shanna,Young
42,14376,7,42.0,1672.0,1672.0,3.0,0,1,0,172.72,145.0,182.88,0.0,30.65023956194388,13,8,0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,59.0,Shane,Young
43,4066,6,43.0,1259.0,1259.0,3.0,0,1,0,175.26,145.0,185.42,0.0,37.74127310061601,9,6,0,0.0,135,4,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,23.0,Jason,Young
